"","year","ccode","intlwar"
"1852",1980,666,1
"1853",1981,666,1
"1854",1982,666,1
"1855",1983,666,1
"1856",1984,666,1
"1857",1985,666,1
"1858",1986,666,1
"1859",1987,666,1
"1860",1988,666,1
"1861",1989,666,1
"1862",1990,666,1
"1863",1991,666,1
"1864",1992,666,1
"1865",1993,666,1
"1866",1994,666,1
"1867",1995,666,1
"1868",1996,666,1
"1869",1997,666,1
"1870",1998,666,1
"1871",1999,666,1
"1872",2000,666,1
"1873",2001,666,1
"1874",2002,666,1
"1875",2003,666,1
"1876",2004,666,1
"1877",2005,666,1
"1878",2006,666,1
"1879",2007,666,1
"1880",2008,666,1
"1881",2009,666,1
"1882",2010,666,1
"1883",2011,666,1
"1884",2012,666,1
"1885",2013,666,1
"1886",2014,666,1
"1887",2015,666,1
"1888",2016,666,1
"1891",1949,713,1
"1892",1950,713,1
"1893",1951,713,1
"1894",1952,713,1
"1895",1953,713,1
"1896",1954,713,1
"1897",1955,713,1
"1898",1956,713,1
"1899",1957,713,1
"1900",1958,713,1
"1901",1959,713,1
"1902",1960,713,1
"1903",1961,713,1
"1904",1962,713,1
"1905",1963,713,1
"1906",1964,713,1
"1907",1965,713,1
"1908",1966,713,1
"1909",1967,713,1
"1910",1968,713,1
"1911",1969,713,1
"1912",1970,713,1
"1913",1971,713,1
"1914",1972,713,1
"1915",1973,713,1
"1916",1974,713,1
"1917",1975,713,1
"1918",1976,713,1
"1919",1977,713,1
"1920",1978,713,1
"1921",1979,713,1
"1922",1980,713,1
"1923",1981,713,1
"1924",1982,713,1
"1925",1983,713,1
"1926",1984,713,1
"1927",1985,713,1
"1928",1986,713,1
"1929",1987,713,1
"1930",1988,713,1
"1931",1989,713,1
"1932",1990,713,1
"1933",1991,713,1
"1934",1992,713,1
"1935",1993,713,1
"1936",1994,713,1
"1937",1995,713,1
"1938",1996,713,1
"1939",1997,713,1
"1940",1998,713,1
"1941",1999,713,1
"1942",2000,713,1
"1943",2001,713,1
"1944",2002,713,1
"1945",2003,713,1
"1946",2004,713,1
"1947",2005,713,1
"1948",2006,713,1
"1949",2007,713,1
"1950",2008,713,1
"1951",2009,713,1
"1952",2010,713,1
"1953",2011,713,1
"1954",2012,713,1
"1955",2013,713,1
"1956",2014,713,1
"1957",2015,713,1
"1958",2016,713,1
"1977",1949,732,1
"1978",1950,732,1
"1979",1951,732,1
"1980",1952,732,1
"1981",1953,732,1
"1982",1954,732,1
"1983",1955,732,1
"1984",1956,732,1
"1985",1957,732,1
"1986",1958,732,1
"1987",1959,732,1
"1988",1960,732,1
"1989",1961,732,1
"1990",1962,732,1
"1991",1963,732,1
"1992",1964,732,1
"1993",1965,732,1
"1994",1966,732,1
"1995",1967,732,1
"1996",1968,732,1
"1997",1969,732,1
"1998",1970,732,1
"1999",1971,732,1
"2000",1972,732,1
"2001",1973,732,1
"2002",1974,732,1
"2003",1975,732,1
"2004",1976,732,1
"2005",1977,732,1
"2006",1978,732,1
"2007",1979,732,1
"2008",1980,732,1
"2009",1981,732,1
"2010",1982,732,1
"2011",1983,732,1
"2012",1984,732,1
"2013",1985,732,1
"2014",1986,732,1
"2015",1987,732,1
"2016",1988,732,1
"2017",1989,732,1
"2018",1990,732,1
"2019",1991,732,1
"2020",1992,732,1
"2021",1993,732,1
"2022",1994,732,1
"2023",1995,732,1
"2024",1996,732,1
"2025",1997,732,1
"2026",1998,732,1
"2027",1999,732,1
"2028",2000,732,1
"2029",2001,732,1
"2030",2002,732,1
"2031",2003,732,1
"2032",2004,732,1
"2033",2005,732,1
"2034",2006,732,1
"2035",2007,732,1
"2036",2008,732,1
"2037",2009,732,1
"2038",2010,732,1
"2039",2011,732,1
"2040",2012,732,1
"2041",2013,732,1
"2042",2014,732,1
"2043",2015,732,1
"2044",2016,732,1
"2050",1951,200,1
"2051",1952,200,1
"2052",1953,200,1
"2053",1954,200,1
"2054",1955,200,1
"2056",1957,200,1
"2057",1958,200,1
"2058",1959,200,1
"2059",1960,200,1
"2060",1961,200,1
"2061",1962,200,1
"2062",1963,200,1
"2063",1964,200,1
"2064",1965,200,1
"2065",1966,200,1
"2066",1967,200,1
"2067",1968,200,1
"2068",1969,200,1
"2069",1970,200,1
"2070",1971,200,1
"2071",1972,200,1
"2072",1973,200,1
"2073",1974,200,1
"2074",1975,200,1
"2075",1976,200,1
"2076",1977,200,1
"2077",1978,200,1
"2078",1979,200,1
"2079",1980,200,1
"2080",1981,200,1
"2081",1982,200,1
"2082",1983,200,1
"2083",1984,200,1
"2084",1985,200,1
"2085",1986,200,1
"2086",1987,200,1
"2087",1988,200,1
"2088",1989,200,1
"2089",1990,200,1
"2090",1991,200,1
"2091",1992,200,1
"2092",1993,200,1
"2093",1994,200,1
"2094",1995,200,1
"2095",1996,200,1
"2096",1997,200,1
"2097",1998,200,1
"2098",1999,200,1
"2099",2000,200,1
"2100",2001,200,1
"2101",2002,200,1
"2103",2004,200,1
"2104",2005,200,1
"2105",2006,200,1
"2106",2007,200,1
"2107",2008,200,1
"2108",2009,200,1
